
	Date	Time	AS Instance	Act. WPs	Dia.WPs	RFC Normal	RFC Low	CPU Usr	CPU Sys	CPU Idle	  CPU.	  Ava.	Rea.	Ste.	Paging in	Paging out	Free Mem.	FreeMem	Free(+FS)	EM alloc.	EM attach.	Heap Memor	Paging Mem	Pri.	Dia.	Ave.	Ave.	Upd.	Enq.	Logins	Sessions	   RTT	  Time
	2025/01/06	00:45:00	tels4happa01_PS4_00	      8	     8	       25	    25	    22	     4	     74	 2.86	10.00	1.7	  0	       0	      216	      50	32,866	  32,866	  27,164	   20,404	    2,405	   65,672	  1	  3	  7	  6	  0	  0	  357	    385	  387	10,167
	2025/01/06	00:45:30	tels4happa09_PS4_00	      2	     1	        0	     0	     3	     1	     96	 0.45	10.00	0.2	  0	       0	        0	      75	49,377	  49,377	  15,340	   15,324	        0	        0	  0	  1	  0	  0	  0	  0	   11	     11	  441	10,016
	2025/01/06	00:45:50	tels4happa08_PS4_00	      1	     1	        0	     0	     3	     2	     95	 0.55	10.00	0.4	  0	       0	        0	      74	48,636	  48,636	  15,336	   15,304	        0	        0	  0	  1	  0	  0	  0	  0	   10	     10	  474	10,138
	2025/01/06	00:46:10	tels4happa02_PS4_00	     11	     6	       32	    32	    10	     1	     89	 2.04	15.00	0.5	  0	       0	       57	      53	52,914	  52,914	  35,036	   27,412	      701	   50,852	  1	  1	  5	  6	  0	  0	  476	    478	  442	10,151
	2025/01/06	00:46:10	tels4happa07_PS4_00	      7	     7	       32	    32	     4	     1	     95	 0.56	10.00	0.2	  0	       0	        0	      67	44,521	  44,521	  15,396	   15,356	        0	        3	  0	  1	  7	  8	  0	  0	   18	     18	  472	 9,119
	2025/01/06	00:46:30	tels4happa06_PS4_00	     10	    10	       32	    32	     2	     1	     97	 0.45	10.00	0.2	  0	       0	        0	      68	45,008	  45,008	  15,408	   15,368	        0	        3	  0	  1	  8	  8	  0	  0	   19	     19	  422	10,123
	2025/01/06	00:46:50	tels4happa05_PS4_00	      1	     1	       48	    45	     4	     3	     93	 0.82	 9.84	0.4	  0	       0	        0	      67	44,428	  44,428	  15,340	   15,300	        0	        2	  0	 47	  1	  1	  0	  0	   11	     11	  539	10,046
	2025/01/06	00:47:00	tels4happa03_PS4_00	      7	     3	       32	    32	    23	     2	     75	 4.05	13.49	1.1	  0	       0	       52	      52	51,615	  51,615	  34,212	   25,628	        0	   77,656	  0	  1	  4	  5	  0	  0	  456	    467	  375	 9,227
	2025/01/06	00:47:10	tels4happa04_PS4_00	      1	     1	       37	    35	     4	     1	     95	 0.64	10.00	0.2	  0	       0	        0	      72	47,651	  47,651	  15,340	   15,300	        0	        5	  0	  1	  1	  1	  0	  0	   11	     11	  432	10,013
	2025/01/06	00:50:00	tels4happa01_PS4_00	      7	     7	       25	    25	    18	     3	     79	 2.39	10.00	0.6	  0	       0	      154	      49	32,629	  32,629	  28,080	   18,892	    1,212	   65,715	  1	  3	  6	  5	  0	  0	  383	    412	  405	10,168
	2025/01/06	00:50:30	tels4happa09_PS4_00	      1	     1	        0	     0	     3	     1	     96	 0.48	10.00	0.2	  0	       0	        0	      75	49,609	  49,609	  15,344	   15,320	        0	       16	  0	  1	  0	  0	  0	  0	   11	     11	  523	10,015
	2025/01/06	00:50:50	tels4happa08_PS4_00	      1	     1	        0	     0	     1	     0	     99	 0.20	10.00	0.2	  0	       0	        0	      74	48,622	  48,622	  15,336	   15,304	        0	        0	  0	  1	  0	  0	  0	  0	   10	     10	  450	10,021
	2025/01/06	00:51:10	tels4happa02_PS4_00	     12	    10	       32	    32	    14	     2	     84	 2.95	15.00	0.4	  0	       0	       67	      52	51,497	  51,497	  36,820	   27,988	    1,724	   53,135	  1	  2	  9	  9	  0	  0	  486	    488	  378	10,124
	2025/01/06	00:51:10	tels4happa07_PS4_00	     10	    10	       32	    32	     5	     1	     94	 0.73	10.00	0.2	  0	       0	        0	      67	44,444	  44,444	  15,424	   15,384	        0	        4	  0	  1	 10	  9	  0	  0	   19	     19	  320	10,124
	2025/01/06	00:51:30	tels4happa06_PS4_00	      8	     8	       32	    32	     7	     2	     91	 1.21	10.00	0.5	  0	       0	        0	      68	44,686	  44,686	  15,396	   15,356	        0	        7	  0	  1	  7	  8	  0	  0	   17	     17	  558	10,123
	2025/01/06	00:51:50	tels4happa05_PS4_00	      1	     1	       48	    45	     3	     1	     96	 0.52	10.00	0.3	  0	       0	        0	      67	44,339	  44,339	  15,364	   15,300	        0	        9	  0	 47	  2	  1	  0	  0	   13	     13	  401	10,016
	2025/01/06	00:52:00	tels4happa03_PS4_00	     14	     9	       32	    32	    22	     2	     76	 3.93	15.00	0.6	  0	       0	       56	      52	51,515	  51,515	  35,408	   26,476	        0	   82,323	  0	  1	  6	  6	  0	  0	  451	    465	  445	10,222
	2025/01/06	00:52:10	tels4happa04_PS4_00	      1	     1	       37	    35	     2	     0	     98	 0.39	10.00	0.2	  0	       0	        0	      72	47,593	  47,593	  15,340	   15,300	        0	        5	  0	  1	  1	  1	  0	  0	   11	     11	  428	10,017
	2025/01/06	00:55:00	tels4happa01_PS4_00	     11	    11	       25	    25	    29	     3	     68	 3.59	10.00	1.3	  0	       0	      169	      47	31,092	  31,092	  29,436	   19,376	    1,212	   69,324	  1	  3	  8	  8	  0	  0	  358	    387	  448	10,196
	2025/01/06	00:55:30	tels4happa09_PS4_00	      1	     1	        0	     0	     3	     1	     96	 0.46	10.00	0.3	  0	       0	        0	      75	49,261	  49,261	  15,344	   15,320	        0	       16	  0	  1	  0	  0	  0	  0	   11	     11	  468	10,012
